File		BestUB		BestLB
pard200_a	185.999197	185.980500
pard200_b	207.088097	207.064900
pard200_c	203.799928	203.780400
pard200_d	201.799460	201.776900
pard200_e	194.482182	194.462700
pard200_f	185.716797	185.698200
pard200_g	194.772096	194.751600
pard200_h	195.568961	195.548600
pard200_i	182.039983	182.021800
pard200_j	189.413335	189.394300
orl200-005-a	66.939136	66.932400
orl200-005-b	69.519004	69.512000
orl200-005-c	71.279637	71.272400
orl200-005-d	68.895085	68.888000
orl200-005-e	67.438221	67.430300
orl200-005-f	66.054556	66.046900
orl200-005-g	69.117159	69.110200
orl200-005-h	70.221637	70.214500
orl200-005-i	69.923259	69.916200
orl200-005-j	68.629834	68.622800
orl200-05-a	53.080878	53.075300
orl200-05-b	47.902494	47.897200
orl200-05-c	49.143845	49.138400
orl200-05-d	53.183978	53.177500
orl200-05-e	57.924215	57.918100
orl200-05-f	53.346551	53.340600
orl200-05-g	49.421600	49.416600
orl200-05-h	48.078910	48.074100
orl200-05-i	49.511025	49.506000
orl200-05-j	50.078643	50.073100
pard300_a	266.397069	266.368700
pard300_b	272.212534	272.185000
pard300_c	271.729829	271.702500
pard300_d	270.047966	270.018000
pard300_e	270.712272	270.685400
pard300_f	268.661617	268.632800
pard300_g	274.155993	274.127300
pard300_h	268.857710	268.830600
pard300_i	272.427680	272.400100
pard300_j	270.674278	270.647200
orl300_005_a	108.788468	108.777300
orl300_005_b	98.708363	98.698400
orl300_005_c	96.911763	96.901000
orl300_005_d	104.905483	104.891300
orl300_005_e	98.596790	98.586900
orl300_005_f	99.213164	99.202800
orl300_005_g	96.491287	96.478400
orl300_005_h	99.975699	99.964800
orl300_005_i	96.789555	96.777000
orl300_005_j	99.213366	99.201000
orl300_05_a	85.834823	85.825800
orl300_05_b	76.033463	76.025800
orl300_05_c	73.391968	73.384500
orl300_05_d	77.344932	77.335800
orl300_05_e	76.260599	76.253000
orl300_05_f	76.045977	76.038300
orl300_05_g	93.003329	92.994000
orl300_05_h	76.130406	76.122500
orl300_05_i	100.624516	100.613200
orl300_05_j	81.248699	81.240500
pard400_a	358.818631	358.776700
pard400_b	426.163252	426.118700
pard400_c	385.475420	385.425700
pard400_d	356.899048	356.860000
pard400_e	355.468635	355.433000
pard400_f	395.662476	395.624400
pard400_g	352.065539	352.017400
pard400_h	351.261660	351.224300
pard400_i	358.665464	358.629600
pard400_j	357.446701	357.403200
orl400_005_a	128.916094	128.900600
orl400_005_b	143.846010	143.831000
orl400_005_c	125.879398	125.863800
orl400_005_d	130.562016	130.548900
orl400_005_e	130.308536	130.295400
orl400_005_f	133.078258	133.062500
orl400_005_g	125.061293	125.047900
orl400_005_h	125.571680	125.556800
orl400_005_i	128.186959	128.171100
orl400_005_j	133.900423	133.885500
orl400_05_a	91.371739	91.361100
orl400_05_b	91.565374	91.555600
orl400_05_c	93.417730	93.404000
orl400_05_d	98.889776	98.879700
orl400_05_e	99.482645	99.472500
orl400_05_f	91.156204	91.146600
orl400_05_g	95.696189	95.685700
orl400_05_h	92.910391	92.899400
orl400_05_i	90.350576	90.339400
orl400_05_j	92.479353	92.468500
