Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_1,6,1000/(n),OA,36.55592418,15873,1974
Instance, cardinality, regularizer, method, solvetime,,
pard300_1,6,1000/sqrt(n),CPLEX MISOCP,600.013972,210,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_1,8,1000/(n),OA,158.8375919,39648,3412
Instance, cardinality, regularizer, method, solvetime,,
pard300_1,8,1000/sqrt(n),CPLEX MISOCP,600.0040481,190,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_1,10,1000/(n),OA,108.3429639,60555,2593
Instance, cardinality, regularizer, method, solvetime,,
pard300_1,10,1000/sqrt(n),CPLEX MISOCP,600.001385,230,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_1,12,1000/(n),OA,17.93113685,17074,523
Instance, cardinality, regularizer, method, solvetime,,
pard300_1,12,1000/sqrt(n),CPLEX MISOCP,261.263962,101,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_1,300,1000/(n),OA,33.84778309,29031,483
Instance, cardinality, regularizer, method, solvetime,,
pard300_1,300,1000/sqrt(n),CPLEX MISOCP,600.003232,206,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_2,6,1000/(n),OA,13.86709714,7583,935
Instance, cardinality, regularizer, method, solvetime,,
pard300_2,6,1000/sqrt(n),CPLEX MISOCP,346.502521,117,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_2,8,1000/(n),OA,37.76286006,28906,1962
Instance, cardinality, regularizer, method, solvetime,,
pard300_2,8,1000/sqrt(n),CPLEX MISOCP,582.9557939,233,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_2,10,1000/(n),OA,64.51226783,41317,2247
Instance, cardinality, regularizer, method, solvetime,,
pard300_2,10,1000/sqrt(n),CPLEX MISOCP,562.685991,216,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_2,12,1000/(n),OA,2.762723923,4355,115
Instance, cardinality, regularizer, method, solvetime,,
pard300_2,12,1000/sqrt(n),CPLEX MISOCP,172.3032432,57,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_2,300,1000/(n),OA,4.911177158,7423,123
Instance, cardinality, regularizer, method, solvetime,,
pard300_2,300,1000/sqrt(n),CPLEX MISOCP,600.0151811,250,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_3,6,1000/(n),OA,33.23811388,21535,1205
Instance, cardinality, regularizer, method, solvetime,,
pard300_3,6,1000/sqrt(n),CPLEX MISOCP,600.0240741,210,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_3,8,1000/(n),OA,34.00163507,37918,1410
Instance, cardinality, regularizer, method, solvetime,,
pard300_3,8,1000/sqrt(n),CPLEX MISOCP,600.0082321,206,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_3,10,1000/(n),OA,254.374501,128452,3526
Instance, cardinality, regularizer, method, solvetime,,
pard300_3,10,1000/sqrt(n),CPLEX MISOCP,600.009908,210,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_3,12,1000/(n),OA,81.04542994,59468,342
Instance, cardinality, regularizer, method, solvetime,,
pard300_3,12,1000/sqrt(n),CPLEX MISOCP,600.0087271,295,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_3,300,1000/(n),OA,77.34211779,58551,328
Instance, cardinality, regularizer, method, solvetime,,
pard300_3,300,1000/sqrt(n),CPLEX MISOCP,600.0117471,206,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard300_4,6,1000/(n),OA,51.46422195,18806,2255
Instance, cardinality, regularizer, method, solvetime,,
