Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_1,6,1000/(n),OA,0.739671946,674,126
Instance, cardinality, regularizer, method, solvetime,,
pard200_1,6,1000/sqrt(n),CPLEX MISOCP,28.54039717,33,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_1,8,1000/(n),OA,1.09866786,1038,188
Instance, cardinality, regularizer, method, solvetime,,
pard200_1,8,1000/sqrt(n),CPLEX MISOCP,30.62755704,33,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_1,10,1000/(n),OA,8.726496935,8844,654
Instance, cardinality, regularizer, method, solvetime,,
pard200_1,10,1000/sqrt(n),CPLEX MISOCP,65.04492593,69,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_1,12,1000/(n),OA,1.368237019,1902,136
Instance, cardinality, regularizer, method, solvetime,,
pard200_1,12,1000/sqrt(n),CPLEX MISOCP,130.9488091,122,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_1,200,1000/(n),OA,1.661081076,3026,123
Instance, cardinality, regularizer, method, solvetime,,
pard200_1,200,1000/sqrt(n),CPLEX MISOCP,600.0032711,624,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_2,6,1000/(n),OA,0.132744074,141,24
Instance, cardinality, regularizer, method, solvetime,,
pard200_2,6,1000/sqrt(n),CPLEX MISOCP,33.26148701,37,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_2,8,1000/(n),OA,0.359441042,327,59
Instance, cardinality, regularizer, method, solvetime,,
pard200_2,8,1000/sqrt(n),CPLEX MISOCP,35.90125299,29,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_2,10,1000/(n),OA,4.187537909,6313,317
Instance, cardinality, regularizer, method, solvetime,,
pard200_2,10,1000/sqrt(n),CPLEX MISOCP,278.617085,331,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_2,12,1000/(n),OA,0.648035049,1953,20
Instance, cardinality, regularizer, method, solvetime,,
pard200_2,12,1000/sqrt(n),CPLEX MISOCP,600.0008149,775,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_2,200,1000/(n),OA,0.696787119,1716,24
Instance, cardinality, regularizer, method, solvetime,,
pard200_2,200,1000/sqrt(n),CPLEX MISOCP,600.0053999,800,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_3,6,1000/(n),OA,0.871890068,904,158
Instance, cardinality, regularizer, method, solvetime,,
pard200_3,6,1000/sqrt(n),CPLEX MISOCP,103.7145569,103,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_3,8,1000/(n),OA,0.670077085,818,98
Instance, cardinality, regularizer, method, solvetime,,
pard200_3,8,1000/sqrt(n),CPLEX MISOCP,85.76370096,81,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_3,10,1000/(n),OA,2.447244883,4584,189
Instance, cardinality, regularizer, method, solvetime,,
pard200_3,10,1000/sqrt(n),CPLEX MISOCP,210.90257,215,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_3,12,1000/(n),OA,1.707131147,3034,42
Instance, cardinality, regularizer, method, solvetime,,
pard200_3,12,1000/sqrt(n),CPLEX MISOCP,600.002418,648,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_3,200,1000/(n),OA,1.209758043,2803,38
Instance, cardinality, regularizer, method, solvetime,,
pard200_3,200,1000/sqrt(n),CPLEX MISOCP,600.0058169,688,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_4,6,1000/(n),OA,1.534833908,2096,262
Instance, cardinality, regularizer, method, solvetime,,
pard200_4,6,1000/sqrt(n),CPLEX MISOCP,230.2859278,248,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_4,8,1000/(n),OA,2.728276968,3820,343
Instance, cardinality, regularizer, method, solvetime,,
pard200_4,8,1000/sqrt(n),CPLEX MISOCP,176.1018679,194,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_4,10,1000/(n),OA,10.83283806,14206,647
Instance, cardinality, regularizer, method, solvetime,,
pard200_4,10,1000/sqrt(n),CPLEX MISOCP,527.460026,617,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_4,12,1000/(n),OA,0.977159977,2332,22
Instance, cardinality, regularizer, method, solvetime,,
pard200_4,12,1000/sqrt(n),CPLEX MISOCP,581.3503571,643,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_4,200,1000/(n),OA,0.859319925,2315,22
Instance, cardinality, regularizer, method, solvetime,,
pard200_4,200,1000/sqrt(n),CPLEX MISOCP,592.7074909,648,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_5,6,1000/(n),OA,0.443790913,225,79
Instance, cardinality, regularizer, method, solvetime,,
pard200_5,6,1000/sqrt(n),CPLEX MISOCP,33.59703803,31,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_5,8,1000/(n),OA,0.656678915,407,112
Instance, cardinality, regularizer, method, solvetime,,
pard200_5,8,1000/sqrt(n),CPLEX MISOCP,35.99959993,34,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_5,10,1000/(n),OA,2.8587749,3577,322
Instance, cardinality, regularizer, method, solvetime,,
pard200_5,10,1000/sqrt(n),CPLEX MISOCP,84.97527909,79,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_5,12,1000/(n),OA,135.8688622,171475,722
Instance, cardinality, regularizer, method, solvetime,,
pard200_5,12,1000/sqrt(n),CPLEX MISOCP,600.0041342,686,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_5,200,1000/(n),OA,120.4103248,131127,777
Instance, cardinality, regularizer, method, solvetime,,
pard200_5,200,1000/sqrt(n),CPLEX MISOCP,600.0042179,818,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_6,6,1000/(n),OA,7.151459932,4635,933
Instance, cardinality, regularizer, method, solvetime,,
pard200_6,6,1000/sqrt(n),CPLEX MISOCP,172.2234979,199,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_6,8,1000/(n),OA,6.052106142,5985,777
Instance, cardinality, regularizer, method, solvetime,,
pard200_6,8,1000/sqrt(n),CPLEX MISOCP,112.6302299,135,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_6,10,1000/(n),OA,2.641228914,2305,283
Instance, cardinality, regularizer, method, solvetime,,
pard200_6,10,1000/sqrt(n),CPLEX MISOCP,82.61408114,103,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_6,12,1000/(n),OA,1.079838037,1934,81
Instance, cardinality, regularizer, method, solvetime,,
pard200_6,12,1000/sqrt(n),CPLEX MISOCP,189.044987,211,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_6,200,1000/(n),OA,1.09727788,1737,76
Instance, cardinality, regularizer, method, solvetime,,
pard200_6,200,1000/sqrt(n),CPLEX MISOCP,600.0034728,700,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_7,6,1000/(n),OA,0.635643005,687,122
Instance, cardinality, regularizer, method, solvetime,,
pard200_7,6,1000/sqrt(n),CPLEX MISOCP,112.655123,119,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_7,8,1000/(n),OA,0.364716053,431,59
Instance, cardinality, regularizer, method, solvetime,,
pard200_7,8,1000/sqrt(n),CPLEX MISOCP,59.56832099,65,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_7,10,1000/(n),OA,2.212361097,3570,216
Instance, cardinality, regularizer, method, solvetime,,
pard200_7,10,1000/sqrt(n),CPLEX MISOCP,83.5090189,75,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_7,12,1000/(n),OA,12.03280282,15002,76
Instance, cardinality, regularizer, method, solvetime,,
pard200_7,12,1000/sqrt(n),CPLEX MISOCP,600.0059259,648,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_7,200,1000/(n),OA,8.769716024,12926,72
Instance, cardinality, regularizer, method, solvetime,,
pard200_7,200,1000/sqrt(n),CPLEX MISOCP,600.00526,802,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_8,6,1000/(n),OA,0.197440147,97,43
Instance, cardinality, regularizer, method, solvetime,,
pard200_8,6,1000/sqrt(n),CPLEX MISOCP,20.54598498,19,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_8,8,1000/(n),OA,0.357752085,199,68
Instance, cardinality, regularizer, method, solvetime,,
pard200_8,8,1000/sqrt(n),CPLEX MISOCP,32.89551783,30,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_8,10,1000/(n),OA,3.212913036,3635,295
Instance, cardinality, regularizer, method, solvetime,,
pard200_8,10,1000/sqrt(n),CPLEX MISOCP,40.55252695,37,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
pard200_8,12,1000/(n),OA,96.28681207,82403,581
Instance, cardinality, regularizer, method, solvetime,,
pard200_8,12,1000/sqrt(n),CPLEX MISOCP,185.1826241,200,
Instance, cardinality, regularizer, method, solvetime, nodecount, iters
